tempo= 166
0.23333333333333334 o
0.25 s
1.2416666666666667 t
1.575 i
1.5916666666666666 p
2.275 t
2.558333333333333 Y
2.566666666666667 I
2.575 t
3.191666666666667 o
3.2083333333333335 u
3.2416666666666667 t
3.5416666666666665 5
3.558333333333333 1
4.208333333333333 uo
4.216666666666667 p
4.233333333333333 s1
4.6 6
5.225 1
5.583333333333333 5
6.291666666666667 1
6.608333333333333 6
7.266666666666667 6
7.275 1
7.608333333333333 1
7.633333333333334 5
8.225 1
8.241666666666667 so
8.591666666666667 6
8.625 y
9.166666666666666 Y
9.241666666666667 1
9.558333333333334 u
9.566666666666666 5
10.233333333333333 t1
10.55 pi
10.575 6
11.2 1
11.558333333333334 Y5
11.566666666666666 I
11.575 t
12.183333333333334 uo
12.208333333333334 1
12.533333333333333 6
13.191666666666666 61
13.558333333333334 51
14.175 5
14.2 1
14.55 1
14.558333333333334 6
15.191666666666666 61
15.55 5
16.175 o
16.183333333333334 s1
16.541666666666668 6
16.566666666666666 y
17.15 Y
17.158333333333335 1
17.516666666666666 5
17.55 u
18.125 o
18.133333333333333 s
18.141666666666666 1
18.533333333333335 6
18.55 Y
19.116666666666667 8
19.166666666666668 o
19.475 o
19.483333333333334 Y
19.491666666666667 s
19.5 4
19.516666666666666 p
20.066666666666666 Y
20.1 4
20.108333333333334 s
20.125 po
20.466666666666665 9
21.133333333333333 4
21.141666666666666 9
21.508333333333333 4
21.516666666666666 8
22.15 4
22.5 4
22.516666666666666 9
23.15 4
23.183333333333334 9
23.541666666666668 8
23.55 4
24.158333333333335 4
24.166666666666668 h
24.175 s
24.191666666666666 p
24.208333333333332 D
24.55 9
25.183333333333334 o
25.191666666666666 4
25.525 h
25.541666666666668 sp
25.55 8
25.583333333333332 D
25.9 p
25.933333333333334 h
26.091666666666665 4
26.216666666666665 s
26.241666666666667 d
26.516666666666666 9
26.525 6
26.55 p
27.175 5
27.183333333333334 o
27.5 p
27.525 u
27.533333333333335 o1
27.566666666666666 s
28.133333333333333 1
28.5 6
29.116666666666667 1
29.508333333333333 51
30.158333333333335 1
30.175 5
30.525 1
30.533333333333335 6
31.133333333333333 6
31.158333333333335 1
31.525 1
31.541666666666668 5
32.125 D
32.13333333333333 G1
32.5 h
32.50833333333333 f
32.516666666666666 6
33.108333333333334 j
33.11666666666667 1
33.166666666666664 g
33.475 5
33.68333333333333 D
33.825 f
33.916666666666664 h
34.09166666666667 o
34.1 1
34.46666666666667 GD
34.483333333333334 I
34.5 6
35.09166666666667 9
35.11666666666667 d
35.15 i
35.53333333333333 5
35.7 g
36.15 5
36.18333333333333 i
36.525 0
37.141666666666666 5
37.208333333333336 0
37.5 95
38.15 9
38.15833333333333 5
38.516666666666666 5
38.525 0
39.13333333333333 0
39.15 5
39.50833333333333 5
39.53333333333333 9
40.1 5
40.108333333333334 D
40.13333333333333 p
40.15 j
40.475 0
40.61666666666667 D
41.025 f
41.13333333333333 o5
41.50833333333333 D
41.525 9
41.583333333333336 d
41.81666666666667 s
42.083333333333336 o
42.09166666666667 5
42.475 i
42.49166666666667 0
43.083333333333336 Y
43.175 u
43.475 s
43.516666666666666 8
44.141666666666666 t
44.483333333333334 ^E
44.8 o
44.9 u
45.13333333333333 t
45.475 e
45.49166666666667 6
45.516666666666666 i
45.525 p
45.541666666666664 t
46.13333333333333 p
46.15833333333333 ti
46.50833333333333 %
46.53333333333333 YWI
46.55 t
